WATER_SY_1,WATER_SYST,GLOBALID,BOUNDARY_T,OWNER_TYPE,COUNTY,REGULATING,FEDERAL_CL,STATE_CLAS,SERVICE_CO,POPULATION,pop_est_total,pop_pct_difference,pop_est_asian,pop_est_black_or_african_american,pop_est_hispanic_or_latino,pop_est_native_american_or_alaska_native,pop_est_other_or_multiple,pop_est_pacific_islander,pop_est_white,pct_est_asian,pct_est_black_or_african_american,pct_est_hispanic_or_latino,pct_est_native_american_or_alaska_native,pct_est_other_or_multiple,pct_est_pacific_islander,pct_est_white,med_hh_income_est
CALAM - ANTELOPE,CA3410031,{AE6C5C3E-859C-4CD7-B3DF-5913A953F8F9},Water Service Area,P,SACRAMENTO,DISTRICT 09 - SACRAMENTO,COMMUNITY,COMMUNITY,10528,34720,34241,-1.38,3348,2885,6320,117,1768,43,19760,9.78,8.43,18.46,0.34,5.16,0.12,57.71,89005
CALIFORNIA STATE FAIR,CA3410026,{C97F5649-348B-4378-9C32-3B6D3E82725B},Water Service Area,S,SACRAMENTO,DISTRICT 09 - SACRAMENTO,COMMUNITY,COMMUNITY,269,650,406,-37.54,11,47,74,0,32,0,242,2.63,11.6,18.26,0,7.81,0,59.7,51467
PLANTATION MOBILE HOME PARK,CA3400401,{6BF6AFC4-25D1-4131-BA1A-CE81F4561902},Water Service Area,P,SACRAMENTO,LPA64 - SACRAMENTO COUNTY,COMMUNITY,COMMUNITY,44,44,11,-75,3,0,5,0,1,0,1,29.6,4.33,47.39,0,7.03,0,11.65,34806
CALAM - PARKWAY,CA3410017,{78A7BD82-DB23-4AC1-8736-574511C4CC84},Water Service Area,P,SACRAMENTO,DISTRICT 09 - SACRAMENTO,COMMUNITY,COMMUNITY,14779,48738,59333,21.74,19304,6013,19227,72,3741,1250,9726,32.54,10.13,32.41,0.12,6.3,2.11,16.39,65867
CITRUS HEIGHTS WATER DISTRICT,CA3410006,{20EF35DA-A434-4A91-BE3D-7D996B8C6730},Water Service Area,L,SACRAMENTO,DISTRICT 09 - SACRAMENTO,COMMUNITY,COMMUNITY,19940,65911,68640,4.14,2656,2171,11917,194,3525,84,48092,3.87,3.16,17.36,0.28,5.14,0.12,70.06,82730
SEQUOIA WATER ASSOC,CA3400155,{D4629F0D-8EAD-4402-88C8-D55C4121EA5B},Water Service Area,P,SACRAMENTO,LPA64 - SACRAMENTO COUNTY,COMMUNITY,COMMUNITY,18,54,0,-100,0,0,0,0,0,0,0,3.93,0,48.22,0,2.81,0,45.04,63076
FAIR OAKS WATER DISTRICT,CA3410009,{797F9D1A-2D43-4FA9-882A-DAA2A539318A},Water Service Area,L,SACRAMENTO,DISTRICT 09 - SACRAMENTO,COMMUNITY,COMMUNITY,14293,35114,34831,-0.81,1340,631,4653,76,1977,20,26133,3.85,1.81,13.36,0.22,5.68,0.06,75.03,107112
RANCHO MARINA,CA3400149,{A2E2869F-FE8D-48EF-8762-16238D0B3F9A},Water Service Area,P,SACRAMENTO,LPA64 - SACRAMENTO COUNTY,COMMUNITY,COMMUNITY,77,250,0,-100,0,0,0,0,0,0,0,0,2.75,5.19,0,2.6,0,89.47,28182
FREEPORT MARINA,CA3400125,{1A2ECBCF-8086-4599-91D1-7BDC9F543BC8},Water Service Area,P,SACRAMENTO,LPA64 - SACRAMENTO COUNTY,COMMUNITY,COMMUNITY,27,42,2,-95.24,0,0,1,0,0,0,1,0,0,59.49,0,1.78,0,38.74,51250
HAPPY HARBOR (SWS),CA3400128,{95E0CED3-1431-4EF7-B516-D9DE2E6F03C4},Water Service Area,P,SACRAMENTO,LPA64 - SACRAMENTO COUNTY,COMMUNITY,COMMUNITY,45,60,0,-100,0,0,0,0,0,0,0,0,2.75,5.19,0,2.6,0,89.47,28182
